GEO_ID,NAME,S0101_C01_001E,S0101_C03_001E,S0101_C05_001E,S0101_C01_003E,S0101_C02_003E,S0101_C04_003E,S0101_C01_004E,S0101_C02_004E,S0101_C01_005E,S0101_C02_005E,S0101_C01_006E,S0101_C02_006E,S0101_C01_007E,S0101_C02_007E,S0101_C01_008E,S0101_C02_008E,S0101_C01_009E,S0101_C02_009E,S0101_C01_010E,S0101_C02_010E,S0101_C01_011E,S0101_C02_011E,S0101_C01_012E,S0101_C02_012E,S0101_C01_013E,S0101_C02_013E,S0101_C01_014E,S0101_C02_014E,S0101_C01_015E,S0101_C02_015E,S0101_C01_016E,S0101_C02_016E,S0101_C01_017E,S0101_C02_017E,S0101_C01_018E,S0101_C02_018E,S0101_C01_019E,S0101_C02_019E
id,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Estimate!!Percent Male!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Percent!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Percent!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Percent!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Percent!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Percent!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Percent!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Percent!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Percent!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Percent!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Percent!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Percent!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Percent!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,Estimate!!Percent!!Total population!!AGE!!85 years and over
0500000US01001,"Autauga County, Alabama",55200,26874,28326,4009,7.3,7.5,3570,6.5,3855,7,3337,6,3660,6.6,3404,6.2,4095,7.4,3279,5.9,3874,7,3979,7.2,4131,7.5,2694,4.9,2271,4.1,2440,4.4,1498,2.7,1026,1.9,815,1.5
0500000US01003,"Baldwin County, Alabama",208107,101188,106919,11689,5.6,5.5,14323,6.9,12707,6.1,10790,5.2,11825,5.7,11501,5.5,12428,6,12949,6.2,13694,6.6,14636,7,14440,6.9,14851,7.1,13141,6.3,11410,5.5,7373,3.5,4792,2.3,3949,1.9
0500000US01005,"Barbour County, Alabama",25782,13697,12085,1450,5.6,4.9,1677,6.5,1434,5.6,1658,6.4,1863,7.2,1812,7,1656,6.4,1448,5.6,1672,6.5,1780,6.9,1657,6.4,1651,6.4,1515,5.9,1305,5.1,841,3.3,551,2.1,422,1.6
0500000US01007,"Bibb County, Alabama",22527,12152,10375,1178,5.2,5.4,1289,5.7,1514,6.7,1491,6.6,1557,6.9,1518,6.7,1455,6.5,1440,6.4,1813,8,1626,7.2,1494,6.6,1216,5.4,1280,5.7,842,3.7,624,2.8,488,2.2,427,1.9
0500000US01009,"Blount County, Alabama",57645,28434,29211,3632,6.3,6,3995,6.9,3717,6.4,3189,5.5,3400,5.9,3386,5.9,3040,5.3,4113,7.1,3959,6.9,3988,6.9,3895,6.8,3613,6.3,3330,5.8,2802,4.9,1776,3.1,1459,2.5,866,1.5
0500000US01011,"Bullock County, Alabama",10352,5663,4689,634,6.1,6.3,540,5.2,772,7.5,706,6.8,702,6.8,418,4,862,8.3,737,7.1,611,5.9,711,6.9,593,5.7,854,8.2,575,5.6,436,4.2,248,2.4,182,1.8,175,1.7
0500000US01013,"Butler County, Alabama",20025,9368,10657,1293,6.5,7.3,1274,6.4,1292,6.5,1073,5.4,1238,6.2,1186,5.9,1213,6.1,1188,5.9,1168,5.8,1259,6.3,1460,7.3,1370,6.8,1087,5.4,994,5,753,3.8,415,2.1,557,2.8
0500000US01015,"Calhoun County, Alabama",115098,55315,59783,6844,5.9,6.3,7158,6.2,7773,6.8,7626,6.6,8017,7,7000,6.1,7039,6.1,6806,5.9,7148,6.2,7810,6.8,7851,6.8,8078,7,6667,5.8,4822,4.2,3524,3.1,2323,2,2050,1.8
0500000US01017,"Chambers County, Alabama",33826,16257,17569,1728,5.1,5.7,2099,6.2,1960,5.8,2525,7.5,1829,5.4,1862,5.5,1861,5.5,2112,6.2,2281,6.7,2367,7,2638,7.8,2205,6.5,2089,6.2,1686,5,1185,3.5,747,2.2,702,2.1
0500000US01019,"Cherokee County, Alabama",25853,12820,13033,1470,5.7,5.1,1520,5.9,1603,6.2,1383,5.3,1437,5.6,1092,4.2,1561,6,1356,5.2,1749,6.8,1893,7.3,2047,7.9,1917,7.4,1934,7.5,1492,5.8,1188,4.6,528,2,479,1.9
0500000US01021,"Chilton County, Alabama",43930,21672,22258,3103,7.1,7.3,2869,6.5,2823,6.4,2575,5.9,2955,6.7,2874,6.5,2716,6.2,2892,6.6,2843,6.5,2813,6.4,3037,6.9,2736,6.2,2048,4.7,2088,4.8,1385,3.2,804,1.8,602,1.4
0500000US01023,"Choctaw County, Alabama",13075,6253,6822,707,5.4,6.1,760,5.8,807,6.2,694,5.3,689,5.3,637,4.9,617,4.7,829,6.3,826,6.3,980,7.5,1074,8.2,900,6.9,876,6.7,771,5.9,680,5.2,262,2,295,2.3
0500000US01025,"Clarke County, Alabama",24387,11539,12848,1375,5.6,6,1591,6.5,1611,6.6,1576,6.5,1362,5.6,1231,5,1502,6.2,1419,5.8,1568,6.4,1749,7.2,1940,8,1473,6,1534,6.3,1041,4.3,956,3.9,630,2.6,465,1.9
0500000US01027,"Clay County, Alabama",13378,6464,6914,651,4.9,4.1,997,7.5,893,6.7,882,6.6,615,4.6,579,4.3,790,5.9,864,6.5,814,6.1,1010,7.5,1126,8.4,835,6.2,804,6,740,5.5,527,3.9,332,2.5,249,1.9
0500000US01029,"Cleburne County, Alabama",14938,7281,7657,1055,7.1,6.5,962,6.4,895,6,760,5.1,853,5.7,853,5.7,832,5.6,992,6.6,1109,7.4,1001,6.7,966,6.5,1036,6.9,1046,7,572,3.8,540,3.6,233,1.6,412,2.8
0500000US01031,"Coffee County, Alabama",51288,25314,25974,3251,6.3,5.8,3588,7,3271,6.4,3088,6,3267,6.4,3207,6.3,3427,6.7,3337,6.5,3470,6.8,3367,6.6,3543,6.9,2919,5.7,2724,5.3,2137,4.2,1641,3.2,967,1.9,906,1.8
0500000US01033,"Colbert County, Alabama",54495,26075,28420,3272,6,6.1,3189,5.9,3134,5.8,3164,5.8,3516,6.5,2980,5.5,2807,5.2,3729,6.8,3578,6.6,3817,7,3831,7,3878,7.1,3093,5.7,2910,5.3,2028,3.7,1255,2.3,1216,2.2
0500000US01035,"Conecuh County, Alabama",12514,6037,6477,894,7.1,6.8,572,4.6,872,7,613,4.9,691,5.5,597,4.8,630,5,721,5.8,740,5.9,861,6.9,1075,8.6,826,6.6,948,7.6,686,5.5,511,4.1,250,2,312,2.5
0500000US01037,"Coosa County, Alabama",10855,5501,5354,432,4,4.3,722,6.7,550,5.1,579,5.3,587,5.4,571,5.3,430,4,831,7.7,778,7.2,768,7.1,1109,10.2,788,7.3,790,7.3,560,5.2,505,4.7,312,2.9,201,1.9
0500000US01039,"Covington County, Alabama",37351,18172,19179,2496,6.7,7.7,2138,5.7,2086,5.6,2051,5.5,2231,6,2063,5.5,1996,5.3,2102,5.6,2266,6.1,2629,7,2642,7.1,2859,7.7,2328,6.2,1902,5.1,1451,3.9,1107,3,862,2.3
0500000US01041,"Crenshaw County, Alabama",13865,6814,7051,868,6.3,6,925,6.7,862,6.2,748,5.4,899,6.5,668,4.8,945,6.8,797,5.7,815,5.9,1011,7.3,1070,7.7,928,6.7,794,5.7,741,5.3,433,3.1,263,1.9,311,2.2
0500000US01043,"Cullman County, Alabama",82313,40560,41753,4736,5.8,5.7,5596,6.8,5009,6.1,4781,5.8,5389,6.5,4777,5.8,5007,6.1,5171,6.3,5257,6.4,5756,7,5716,6.9,5336,6.5,4479,5.4,4277,5.2,2649,3.2,2297,2.8,1101,1.3
0500000US01045,"Dale County, Alabama",49255,24234,25021,3162,6.4,7.5,3148,6.4,3023,6.1,3309,6.7,3671,7.5,3455,7,2969,6,2847,5.8,3036,6.2,3117,6.3,3629,7.4,2719,5.5,2670,5.4,1909,3.9,1538,3.1,958,1.9,864,1.8
0500000US01047,"Dallas County, Alabama",40029,18448,21581,2842,7.1,7.2,2682,6.7,2906,7.3,2522,6.3,2411,6,2263,5.7,2246,5.6,2209,5.5,2247,5.6,2688,6.7,3068,7.7,2763,6.9,2675,6.7,1318,3.3,1260,3.1,922,2.3,530,1.3
0500000US01049,"DeKalb County, Alabama",71200,35304,35896,4916,6.9,7,5151,7.2,4805,6.7,4201,5.9,4435,6.2,4157,5.8,4427,6.2,4590,6.4,4769,6.7,4627,6.5,4919,6.9,4333,6.1,4030,5.7,3017,4.2,2225,3.1,1308,1.8,1039,1.5
0500000US01051,"Elmore County, Alabama",81212,39450,41762,4761,5.9,6.3,5460,6.7,5243,6.5,5253,6.5,5710,7,5455,6.7,5539,6.8,5594,6.9,5525,6.8,5757,7.1,5750,7.1,4659,5.7,4001,4.9,3270,4,1962,2.4,1396,1.7,1141,1.4
0500000US01053,"Escambia County, Alabama",37328,19067,18261,2290,6.1,6.4,2491,6.7,2212,5.9,2248,6,2533,6.8,2449,6.6,2437,6.5,2365,6.3,2389,6.4,2508,6.7,2453,6.6,2355,6.3,2164,5.8,1577,4.2,1381,3.7,696,1.9,658,1.8
0500000US01055,"Etowah County, Alabama",102939,49651,53288,6148,6,6.7,6210,6,6484,6.3,6309,6.1,6286,6.1,5803,5.6,6632,6.4,6316,6.1,7054,6.9,6994,6.8,7243,7,6790,6.6,6662,6.5,4518,4.4,3353,3.3,2402,2.3,1942,1.9
0500000US01057,"Fayette County, Alabama",16585,8170,8415,914,5.5,6.8,1036,6.2,1076,6.5,917,5.5,941,5.7,958,5.8,741,4.5,1134,6.8,1082,6.5,1097,6.6,1135,6.8,1237,7.5,1073,6.5,941,5.7,613,3.7,397,2.4,368,2.2
0500000US01059,"Franklin County, Alabama",31542,15602,15940,1851,5.9,5.2,2416,7.7,2021,6.4,2277,7.2,1899,6,2094,6.6,1658,5.3,2314,7.3,1901,6,2138,6.8,1662,5.3,2046,6.5,1694,5.4,1263,4,990,3.1,588,1.9,565,1.8
0500000US01061,"Geneva County, Alabama",26491,12971,13520,1703,6.4,7.1,1681,6.3,1661,6.3,1403,5.3,1440,5.4,1533,5.8,1584,6,1532,5.8,1695,6.4,1905,7.2,2049,7.7,1708,6.4,1749,6.6,1240,4.7,987,3.7,737,2.8,439,1.7
0500000US01063,"Greene County, Alabama",8426,3950,4476,537,6.4,4.1,488,5.8,493,5.9,585,6.9,508,6,498,5.9,496,5.9,270,3.2,411,4.9,586,7,688,8.2,660,7.8,700,8.3,254,3,380,4.5,180,2.1,202,2.4
0500000US01065,"Hale County, Alabama",14887,7019,7868,887,6,8,986,6.6,1128,7.6,844,5.7,883,5.9,804,5.4,1047,7,583,3.9,822,5.5,1065,7.2,970,6.5,1180,7.9,953,6.4,620,4.2,405,2.7,397,2.7,342,2.3
0500000US01067,"Henry County, Alabama",17124,8232,8892,823,4.8,5,1184,6.9,1013,5.9,1004,5.9,824,4.8,828,4.8,1147,6.7,996,5.8,1084,6.3,1135,6.6,1307,7.6,1150,6.7,1220,7.1,1026,6,668,3.9,340,2,442,2.6
0500000US01069,"Houston County, Alabama",104352,50029,54323,6718,6.4,6.7,6985,6.7,6478,6.2,6133,5.9,6873,6.6,6686,6.4,6180,5.9,6826,6.5,6640,6.4,7103,6.8,7431,7.1,6344,6.1,5849,5.6,4434,4.2,3208,3.1,2201,2.1,1923,1.8
0500000US01071,"Jackson County, Alabama",52094,25536,26558,3217,6.2,6.7,3106,6,3035,5.8,2718,5.2,3070,5.9,2939,5.6,3009,5.8,3458,6.6,3507,6.7,3622,7,4034,7.7,3614,6.9,3810,7.3,2138,4.1,1868,3.6,1159,2.2,997,1.9
0500000US01073,"Jefferson County, Alabama",659892,312348,347544,42904,6.5,7.1,41175,6.2,41417,6.3,43127,6.5,49164,7.5,46029,7,43068,6.5,40471,6.1,40493,6.1,42860,6.5,45223,6.9,42278,6.4,34493,5.2,22826,3.5,16767,2.5,12341,1.9,12719,1.9
0500000US01075,"Lamar County, Alabama",13933,6800,7133,878,6.3,7.4,935,6.7,867,6.2,661,4.7,702,5,770,5.5,620,4.4,942,6.8,906,6.5,975,7,1065,7.6,975,7,913,6.6,667,4.8,670,4.8,346,2.5,342,2.5
0500000US01077,"Lauderdale County, Alabama",92585,44315,48270,5563,6,6.5,4852,5.2,6149,6.6,7856,8.5,5710,6.2,5186,5.6,4952,5.3,5311,5.7,5730,6.2,6154,6.6,6240,6.7,6270,6.8,5346,5.8,4844,5.2,3085,3.3,2398,2.6,2203,2.4
0500000US01079,"Lawrence County, Alabama",33171,16003,17168,2012,6.1,6.9,2184,6.6,1953,5.9,1772,5.3,2057,6.2,1912,5.8,2088,6.3,1917,5.8,2255,6.8,2590,7.8,2559,7.7,2230,6.7,2101,6.3,1488,4.5,1022,3.1,647,2,529,1.6
0500000US01081,"Lee County, Alabama",159287,78372,80915,8850,5.6,5.8,10200,6.4,13411,8.4,22407,14.1,12368,7.8,10499,6.6,9580,6,9656,6.1,9442,5.9,9212,5.8,8453,5.3,8039,5,6739,4.2,4374,2.7,3117,2,1936,1.2,1573,1
0500000US01083,"Limestone County, Alabama",93052,46427,46625,5431,5.8,6.8,6697,7.2,6304,6.8,5103,5.5,5713,6.1,6335,6.8,6269,6.7,6462,6.9,6754,7.3,7134,7.7,6605,7.1,5299,5.7,4309,4.6,4010,4.3,2312,2.5,1665,1.8,1427,1.5
0500000US01085,"Lowndes County, Alabama",10236,4830,5406,637,6.2,5.9,662,6.5,579,5.7,668,6.5,669,6.5,588,5.7,486,4.7,606,5.9,653,6.4,737,7.2,822,8,667,6.5,618,6,428,4.2,396,3.9,195,1.9,191,1.9
0500000US01087,"Macon County, Alabama",19054,8790,10264,901,4.7,5.4,958,5,1858,9.8,2266,11.9,1125,5.9,934,4.9,1037,5.4,707,3.7,990,5.2,1182,6.2,1295,6.8,1323,6.9,1253,6.6,902,4.7,598,3.1,396,2.1,393,2.1
0500000US01089,"Madison County, Alabama",357560,174665,182895,21679,6.1,6.2,22488,6.3,24006,6.7,24700,6.9,25452,7.1,24051,6.7,21666,6.1,21688,6.1,23828,6.7,27873,7.8,26834,7.5,21085,5.9,16558,4.6,13019,3.6,8909,2.5,7254,2,5568,1.6
0500000US01091,"Marengo County, Alabama",19538,9446,10092,1232,6.3,9,1474,7.5,1447,7.4,893,4.6,1305,6.7,938,4.8,1013,5.2,1293,6.6,1211,6.2,1327,6.8,1278,6.5,1468,7.5,1105,5.7,942,4.8,709,3.6,578,3,356,1.8
0500000US01093,"Marion County, Alabama",29965,14898,15067,1588,5.3,6.1,1982,6.6,1897,6.3,1605,5.4,1738,5.8,1563,5.2,1555,5.2,1913,6.4,2033,6.8,2223,7.4,2036,6.8,2074,6.9,1863,6.2,1657,5.5,1419,4.7,596,2,684,2.3
0500000US01095,"Marshall County, Alabama",95145,46977,48168,6165,6.5,6.8,6974,7.3,6167,6.5,5659,5.9,6032,6.3,5626,5.9,5646,5.9,5948,6.3,6158,6.5,6326,6.6,5987,6.3,5980,6.3,5312,5.6,4090,4.3,3135,3.3,1881,2,1523,1.6
0500000US01097,"Mobile County, Alabama",414659,197928,216731,26349,6.4,6.5,28091,6.8,27066,6.5,28485,6.9,30228,7.3,26982,6.5,25012,6,24554,5.9,25050,6,27633,6.7,28094,6.8,26496,6.4,22262,5.4,15823,3.8,11239,2.7,7295,1.8,7031,1.7
0500000US01099,"Monroe County, Alabama",21512,10230,11282,1337,6.2,6.7,1364,6.3,1450,6.7,1339,6.2,1187,5.5,1052,4.9,1350,6.3,1084,5,1408,6.5,1485,6.9,1608,7.5,1522,7.1,1216,5.7,1127,5.2,581,2.7,555,2.6,581,2.7
0500000US01101,"Montgomery County, Alabama",226941,107354,119587,15403,6.8,7.3,14135,6.2,15037,6.6,17009,7.5,17390,7.7,15605,6.9,14036,6.2,14487,6.4,13566,6,14484,6.4,14899,6.6,13392,5.9,11038,4.9,7608,3.4,6146,2.7,3999,1.8,3392,1.5
0500000US01103,"Morgan County, Alabama",119122,58660,60462,8221,6.9,7.1,7124,6,7610,6.4,6847,5.7,7463,6.3,7160,6,7466,6.3,7545,6.3,7964,6.7,8763,7.4,8293,7,7742,6.5,6542,5.5,5089,4.3,3407,2.9,2623,2.2,2204,1.9
0500000US01105,"Perry County, Alabama",9486,4436,5050,367,3.9,4.9,797,8.4,1007,10.6,986,10.4,244,2.6,390,4.1,839,8.8,456,4.8,338,3.6,544,5.7,625,6.6,615,6.5,540,5.7,510,5.4,240,2.5,259,2.7,215,2.3
0500000US01107,"Pickens County, Alabama",20298,9708,10590,996,4.9,5.2,1187,5.8,1294,6.4,1222,6,1330,6.6,1315,6.5,1342,6.6,1031,5.1,1438,7.1,1564,7.7,1545,7.6,1271,6.3,1359,6.7,778,3.8,605,3,463,2.3,524,2.6
0500000US01109,"Pike County, Alabama",33403,16027,17376,1762,5.3,6.2,1846,5.5,2875,8.6,5801,17.4,2330,7,1643,4.9,1798,5.4,1540,4.6,1678,5,1775,5.3,1913,5.7,1695,5.1,1451,4.3,1368,4.1,1043,3.1,521,1.6,503,1.5
0500000US01111,"Randolph County, Alabama",22574,10989,11585,1432,6.3,6.7,1300,5.8,1542,6.8,1272,5.6,1192,5.3,1235,5.5,1246,5.5,1369,6.1,1374,6.1,1569,7,1408,6.2,1833,8.1,1400,6.2,1272,5.6,935,4.1,480,2.1,425,1.9
0500000US01113,"Russell County, Alabama",58213,28124,30089,4630,8,8.6,3201,5.5,3421,5.9,3753,6.4,4801,8.2,4102,7,3536,6.1,3916,6.7,3618,6.2,3949,6.8,3899,6.7,3353,5.8,2593,4.5,2059,3.5,1309,2.2,1067,1.8,748,1.3
0500000US01115,"St. Clair County, Alabama",87306,43755,43551,5279,6,7,6058,6.9,5144,5.9,4886,5.6,5466,6.3,5827,6.7,5376,6.2,6010,6.9,6375,7.3,6098,7,6314,7.2,5341,6.1,5031,5.8,3515,4,2359,2.7,1796,2.1,1190,1.4
0500000US01117,"Shelby County, Alabama",211261,102478,108783,14065,6.7,6.7,14839,7,14336,6.8,12099,5.7,12672,6,13634,6.5,14434,6.8,15357,7.3,15293,7.2,14900,7.1,13510,6.4,13497,6.4,11006,5.2,7733,3.7,5458,2.6,3218,1.5,2710,1.3
0500000US01119,"Sumter County, Alabama",12985,6014,6971,693,5.3,6,661,5.1,1385,10.7,1686,13,662,5.1,492,3.8,601,4.6,616,4.7,682,5.3,771,5.9,993,7.6,843,6.5,616,4.7,568,4.4,353,2.7,414,3.2,247,1.9
0500000US01121,"Talladega County, Alabama",80565,39156,41409,5040,6.3,6.6,4796,6,5044,6.3,5262,6.5,5143,6.4,4706,5.8,4824,6,5234,6.5,5477,6.8,5569,6.9,5609,7,5803,7.2,4763,5.9,3554,4.4,2409,3,1628,2,1403,1.7
0500000US01123,"Tallapoosa County, Alabama",40636,19517,21119,2650,6.5,6.4,2217,5.5,2712,6.7,2264,5.6,2167,5.3,2123,5.2,2087,5.1,2255,5.5,2593,6.4,2882,7.1,3055,7.5,3146,7.7,2556,6.3,2479,6.1,1320,3.2,1069,2.6,850,2.1
0500000US01125,"Tuscaloosa County, Alabama",206213,99539,106674,11967,5.8,6.4,11702,5.7,19497,9.5,23145,11.2,17215,8.3,13204,6.4,12816,6.2,11753,5.7,11393,5.5,11674,5.7,11711,5.7,12103,5.9,8707,4.2,6725,3.3,4392,2.1,2943,1.4,2918,1.4
0500000US01127,"Walker County, Alabama",64493,31506,32987,4028,6.2,7,3811,5.9,4003,6.2,3691,5.7,3953,6.1,3636,5.6,3489,5.4,4122,6.4,4181,6.5,4524,7,4749,7.4,4296,6.7,3578,5.5,3549,5.5,2275,3.5,1406,2.2,1216,1.9
0500000US01129,"Washington County, Alabama",16643,8420,8223,889,5.3,4.9,1422,8.5,1203,7.2,1044,6.3,756,4.5,940,5.6,814,4.9,948,5.7,1044,6.3,1431,8.6,1109,6.7,1389,8.3,1003,6,863,5.2,583,3.5,414,2.5,175,1.1
0500000US01131,"Wilcox County, Alabama",10809,5134,5675,497,4.6,3.6,930,8.6,847,7.8,665,6.2,649,6,512,4.7,502,4.6,801,7.4,604,5.6,641,5.9,733,6.8,777,7.2,707,6.5,445,4.1,266,2.5,329,3,238,2.2
0500000US01133,"Winston County, Alabama",23875,11840,12035,1193,5,5.4,1653,6.9,1368,5.7,1231,5.2,1273,5.3,1311,5.5,1273,5.3,1402,5.9,1583,6.6,1760,7.4,1874,7.8,1681,7,1518,6.4,1467,6.1,967,4.1,543,2.3,532,2.2
0500000US02013,"Aleutians East Borough, Alaska",3425,1989,1436,103,3,3.2,169,4.9,170,5,238,6.9,277,8.1,216,6.3,269,7.9,237,6.9,382,11.2,445,13,263,7.7,246,7.2,146,4.3,66,1.9,44,1.3,16,0.5,30,0.9
0500000US02016,"Aleutians West Census Area, Alaska",5750,3432,2318,359,6.2,4.6,240,4.2,275,4.8,529,9.2,493,8.6,505,8.8,433,7.5,421,7.3,482,8.4,633,11,424,7.4,382,6.6,174,3,85,1.5,38,0.7,27,0.5,10,0.2
0500000US02020,"Anchorage Municipality, Alaska",296112,151144,144968,20547,6.9,6.8,19210,6.5,18426,6.2,24169,8.2,27102,9.2,24461,8.3,20776,7,17145,5.8,18171,6.1,19192,6.5,19614,6.6,16041,5.4,11501,3.9,7997,2.7,4338,1.5,3030,1,2626,0.9
0500000US02050,"Bethel Census Area, Alaska",18040,9381,8659,1814,10.1,9.7,1743,9.7,1594,8.8,1349,7.5,1501,8.3,1240,6.9,1072,5.9,892,4.9,913,5.1,1006,5.6,856,4.7,913,5.1,500,2.8,391,2.2,188,1,134,0.7,71,0.4
0500000US02060,"Bristol Bay Borough, Alaska",890,526,364,51,5.7,4.6,59,6.6,45,5.1,38,4.3,52,5.8,39,4.4,72,8.1,63,7.1,65,7.3,90,10.1,104,11.7,75,8.4,35,3.9,18,2,15,1.7,10,1.1,7,0.8
0500000US02068,"Denali Borough, Alaska",2232,1117,1115,42,1.9,1.9,98,4.4,125,5.6,300,13.4,123,5.5,146,6.5,176,7.9,116,5.2,192,8.6,199,8.9,169,7.6,318,14.2,85,3.8,22,1,51,2.3,4,0.2,0,0
0500000US02070,"Dillingham Census Area, Alaska",4975,2573,2402,430,8.6,8.5,394,7.9,379,7.6,392,7.9,392,7.9,336,6.8,380,7.6,177,3.6,254,5.1,288,5.8,312,6.3,333,6.7,159,3.2,114,2.3,92,1.8,32,0.6,33,0.7
0500000US02090,"Fairbanks North Star Borough, Alaska",99653,53846,45807,7016,7,6,5860,5.9,6192,6.2,10850,10.9,10178,10.2,8137,8.2,6581,6.6,5651,5.7,5456,5.5,5574,5.6,5948,6,5189,5.2,4453,4.5,1952,2,1263,1.3,883,0.9,573,0.6
0500000US02100,"Haines Borough, Alaska",2518,1335,1183,143,5.7,8.9,183,7.3,123,4.9,38,1.5,148,5.9,153,6.1,142,5.6,175,6.9,161,6.4,182,7.2,202,8,95,3.8,395,15.7,117,4.6,44,1.7,48,1.9,10,0.4
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2132,1095,1037,109,5.1,2.7,85,4,52,2.4,104,4.9,112,5.3,114,5.3,136,6.4,82,3.8,163,7.6,176,8.3,240,11.3,242,11.4,196,9.2,116,5.4,49,2.3,40,1.9,14,0.7
0500000US02110,"Juneau City and Borough, Alaska",32330,16517,15813,2043,6.3,6.8,1798,5.6,1992,6.2,2117,6.5,2526,7.8,2322,7.2,2356,7.3,2014,6.2,2184,6.8,2421,7.5,2587,8,2192,6.8,1764,5.5,935,2.9,578,1.8,188,0.6,412,1.3
0500000US02122,"Kenai Peninsula Borough, Alaska",58220,30314,27906,3551,6.1,6,3800,6.5,3643,6.3,3297,5.7,3632,6.2,3630,6.2,3408,5.9,3473,6,3544,6.1,4062,7,4749,8.2,4687,8.1,3860,6.6,2377,4.1,1188,2,908,1.6,759,1.3
0500000US02130,"Ketchikan Gateway Borough, Alaska",13804,7060,6744,880,6.4,5.9,833,6,801,5.8,870,6.3,938,6.8,922,6.7,898,6.5,815,5.9,894,6.5,1011,7.3,991,7.2,1161,8.4,798,5.8,508,3.7,269,1.9,177,1.3,198,1.4
0500000US02150,"Kodiak Island Borough, Alaska",13649,7281,6368,1115,8.2,8,824,6,1032,7.6,817,6,1204,8.8,1068,7.8,821,6,974,7.1,828,6.1,828,6.1,972,7.1,841,6.2,649,4.8,265,1.9,174,1.3,90,0.7,70,0.5
0500000US02158,"Kusilvak Census Area, Alaska",8198,4388,3810,867,10.6,11,894,10.9,750,9.1,654,8,725,8.8,537,6.6,401,4.9,323,3.9,366,4.5,422,5.1,448,5.5,269,3.3,194,2.4,105,1.3,68,0.8,70,0.9,19,0.2
0500000US02164,"Lake and Peninsula Borough, Alaska",1375,710,665,103,7.5,5.8,101,7.3,92,6.7,132,9.6,104,7.6,95,6.9,85,6.2,77,5.6,69,5,95,6.9,114,8.3,102,7.4,28,2,34,2.5,23,1.7,17,1.2,7,0.5
0500000US02170,"Matanuska-Susitna Borough, Alaska",103464,53912,49552,7753,7.5,7.3,8152,7.9,7089,6.9,6523,6.3,7148,6.9,7503,7.3,7360,7.1,6340,6.1,6408,6.2,6943,6.7,7385,7.1,6304,6.1,4387,4.2,3201,3.1,1692,1.6,931,0.9,819,0.8
0500000US02180,"Nome Census Area, Alaska",9925,5240,4685,1008,10.2,10.6,918,9.2,799,8.1,768,7.7,814,8.2,681,6.9,591,6,521,5.2,501,5,562,5.7,670,6.8,393,4,294,3,226,2.3,110,1.1,83,0.8,29,0.3
0500000US02185,"North Slope Borough, Alaska",9797,6116,3681,764,7.8,6.5,611,6.2,534,5.5,565,5.8,680,6.9,988,10.1,716,7.3,505,5.2,701,7.2,822,8.4,946,9.7,525,5.4,270,2.8,193,2,92,0.9,39,0.4,33,0.3
0500000US02188,"Northwest Arctic Borough, Alaska",7734,4156,3578,833,10.8,10.7,683,8.8,624,8.1,598,7.7,699,9,524,6.8,427,5.5,383,5,397,5.1,458,5.9,395,5.1,307,4,226,2.9,135,1.7,134,1.7,49,0.6,52,0.7
0500000US02195,"Petersburg Borough, Alaska",3255,1649,1606,217,6.7,6.3,197,6.1,198,6.1,302,9.3,161,4.9,159,4.9,160,4.9,174,5.3,184,5.7,150,4.6,259,8,187,5.7,279,8.6,183,5.6,157,4.8,31,1,51,1.6
