February 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-111,"Randolph County",48.3,96,3.1,45.2
AL-113,"Russell County",51.9,90,2.3,49.6
AL-115,"St. Clair County",48.7,96,3.2,45.5
AL-117,"Shelby County",49.4,93,2.7,46.7
AL-119,"Sumter County",51.9,97,3.0,48.9
AL-121,"Talladega County",49.6,96,3.0,46.6
AL-123,"Tallapoosa County",49.7,90,2.4,47.3
AL-125,"Tuscaloosa County",49.8,91,2.7,47.1
AL-127,"Walker County",48.0,90,2.5,45.5
AL-129,"Washington County",54.7,98,3.1,51.6
AL-131,"Wilcox County",53.2,95,2.9,50.3
AL-133,"Winston County",45.9,85,2.1,43.8
AZ-001,"Apache County",36.0,80,1.5,34.5
AZ-003,"Cochise County",46.8,57,-0.1,46.9
AZ-005,"Coconino County",38.8,89,2.3,36.5
AZ-007,"Gila County",46.2,84,1.9,44.3
AZ-009,"Graham County",46.8,68,0.7,46.1
AZ-011,"Greenlee County",43.3,81,1.3,42
AZ-012,"La Paz County",56.4,73,0.8,55.6
AZ-013,"Maricopa County",55.1,67,0.4,54.7
AZ-015,"Mohave County",47.8,82,1.6,46.2
AZ-017,"Navajo County",37.2,80,1.4,35.8
AZ-019,"Pima County",53.0,69,0.3,52.7
AZ-021,"Pinal County",53.4,67,0.2,53.2
AZ-023,"Santa Cruz County",47.2,68,0.3,46.9
AZ-025,"Yavapai County",45.9,84,1.8,44.1
AZ-027,"Yuma County",57.4,65,0.5,56.9
AR-001,"Arkansas County",47.5,88,2.6,44.9
AR-003,"Ashley County",48.7,76,1.4,47.3
AR-005,"Baxter County",40.0,73,1.2,38.8
AR-007,"Benton County",39.8,68,0.7,39.1
AR-009,"Boone County",39.7,73,1.1,38.6
AR-011,"Bradley County",48.4,82,1.8,46.6
AR-013,"Calhoun County",47.5,73,0.8,46.7
AR-015,"Carroll County",39.6,70,0.8,38.8
AR-017,"Chicot County",48.6,77,1.1,47.5
AR-019,"Clark County",46.3,73,0.7,45.6
AR-021,"Clay County",42.6,91,2.9,39.7
AR-023,"Cleburne County",42.7,76,1.5,41.2
AR-025,"Cleveland County",47.2,78,1.3,45.9
AR-027,"Columbia County",47.4,60,-0.2,47.6
AR-029,"Conway County",43.9,76,1.3,42.6
AR-031,"Craighead County",43.1,86,2.3,40.8
AR-033,"Crawford County",42.4,70,0.7,41.7
AR-035,"Crittenden County",44.6,78,1.5,43.1
AR-037,"Cross County",44.0,77,1.4,42.6
AR-039,"Dallas County",46.3,68,0.4,45.9
AR-041,"Desha County",48.1,85,2.0,46.1
AR-043,"Drew County",48.6,85,2.1,46.5
AR-045,"Faulkner County",43.6,67,0.5,43.1
AR-047,"Franklin County",42.0,67,0.4,41.6
AR-049,"Fulton County",40.3,82,2.2,38.1
AR-051,"Garland County",44.9,74,1.0,43.9
AR-053,"Grant County",46.0,69,0.6,45.4
AR-055,"Greene County",42.8,88,2.6,40.2
AR-057,"Hempstead County",46.5,66,0.4,46.1
AR-059,"Hot Spring County",45.7,71,0.6,45.1
AR-061,"Howard County",45.8,75,1.1,44.7
AR-063,"Independence County",42.4,79,1.8,40.6
AR-065,"Izard County",40.6,75,1.3,39.3
AR-067,"Jackson County",42.8,80,1.5,41.3
AR-069,"Jefferson County",46.7,80,1.4,45.3
AR-071,"Johnson County",41.7,70,0.7,41
AR-073,"Lafayette County",47.6,67,0.1,47.5
AR-075,"Lawrence County",42.1,83,2.0,40.1
AR-077,"Lee County",46.5,86,2.5,44
AR-079,"Lincoln County",47.9,82,2.1,45.8
AR-081,"Little River County",47.7,78,1.4,46.3
AR-083,"Logan County",43.2,71,0.6,42.6
AR-085,"Lonoke County",45.1,73,0.9,44.2
AR-087,"Madison County",39.2,67,0.3,38.9
AR-089,"Marion County",39.8,74,1.0,38.8
AR-091,"Miller County",47.9,66,0.4,47.5
AR-093,"Mississippi County",43.5,82,2.1,41.4
AR-095,"Monroe County",46.6,85,2.5,44.1
AR-097,"Montgomery County",44.3,74,0.9,43.4
AR-099,"Nevada County",46.7,68,0.3,46.4
AR-101,"Newton County",39.7,72,1.0,38.7
AR-103,"Ouachita County",46.6,56,-0.3,46.9
AR-105,"Perry County",44.9,77,1.5,43.4
AR-107,"Phillips County",47.2,90,2.6,44.6
AR-109,"Pike County",45.2,72,0.6,44.6
AR-111,"Poinsett County",43.4,83,1.8,41.6
AR-113,"Polk County",43.6,72,0.9,42.7
AR-115,"Pope County",42.7,76,1.2,41.5
AR-117,"Prairie County",45.7,81,1.6,44.1
AR-119,"Pulaski County",44.8,66,0.5,44.3
AR-121,"Randolph County",42.0,91,2.7,39.3
AR-123,"St. Francis County",45.4,84,2.0,43.4
AR-125,"Saline County",45.0,70,0.8,44.2
AR-127,"Scott County",43.4,69,0.7,42.7
AR-129,"Searcy County",40.1,72,0.9,39.2
AR-131,"Sebastian County",43.9,73,1.1,42.8
AR-133,"Sevier County",47.4,85,2.2,45.2
AR-135,"Sharp County",41.0,83,2.0,39
AR-137,"Stone County",41.1,75,1.3,39.8
AR-139,"Union County",48.6,76,1.1,47.5
AR-141,"Van Buren County",41.7,75,1.0,40.7
AR-143,"Washington County",39.7,60,0.1,39.6
AR-145,"White County",44.2,77,1.5,42.7
AR-147,"Woodruff County",44.3,77,1.4,42.9
AR-149,"Yell County",44.4,76,1.3,43.1
CA-001,"Alameda County",54.0,123,4.5,49.5
CA-003,"Alpine County",35.0,117,4.7,30.3
CA-005,"Amador County",50.8,120,5.1,45.7
CA-007,"Butte County",52.5,122,5.6,46.9
CA-009,"Calaveras County",52.0,122,6.1,45.9
CA-011,"Colusa County",53.1,121,4.5,48.6
CA-013,"Contra Costa County",55.3,123,5.3,50
CA-015,"Del Norte County",44.2,105,2.7,41.5
CA-017,"El Dorado County",46.0,119,4.7,41.3
CA-019,"Fresno County",46.5,117,4.2,42.3
CA-021,"Glenn County",51.7,120,4.6,47.1
CA-023,"Humboldt County",45.6,89,1.5,44.1
CA-025,"Imperial County",60.2,88,1.8,58.4
CA-027,"Inyo County",48.3,108,3.6,44.7
CA-029,"Kern County",52.0,118,4.2,47.8
CA-031,"Kings County",52.8,104,2.3,50.5
CA-033,"Lake County",50.9,123,5.9,45
CA-035,"Lassen County",36.2,107,3.6,32.6
CA-037,"Los Angeles County",54.2,118,4.7,49.5
CA-039,"Madera County",47.2,117,4.3,42.9
CA-041,"Marin County",54.5,123,4.7,49.8
CA-043,"Mariposa County",47.2,120,4.9,42.3
CA-045,"Mendocino County",50.0,120,4.1,45.9
CA-047,"Merced County",53.4,116,3.5,49.9
CA-049,"Modoc County",35.8,102,3.6,32.2
CA-051,"Mono County",34.0,116,4.8,29.2
CA-053,"Monterey County",52.1,114,3.3,48.8
CA-055,"Napa County",53.6,123,5.2,48.4
CA-057,"Nevada County",44.4,117,4.7,39.7
CA-059,"Orange County",58.9,115,3.9,55
CA-061,"Placer County",45.4,118,4.3,41.1
CA-063,"Plumas County",38.0,114,4.1,33.9
CA-065,"Riverside County",56.2,99,2.5,53.7
CA-067,"Sacramento County",54.5,117,3.7,50.8
CA-069,"San Benito County",50.8,117,3.9,46.9
CA-071,"San Bernardino County",53.8,106,3.2,50.6
CA-073,"San Diego County",54.5,110,3.2,51.3
CA-075,"San Francisco County",55.2,123,4.1,51.1
CA-077,"San Joaquin County",55.2,122,4.8,50.4
CA-079,"San Luis Obispo County",52.4,117,3.8,48.6
CA-081,"San Mateo County",53.7,121,3.8,49.9
CA-083,"Santa Barbara County",52.7,116,4.1,48.6
CA-085,"Santa Clara County",52.5,121,4.4,48.1
CA-087,"Santa Cruz County",53.1,118,3.7,49.4
CA-089,"Shasta County",46.1,115,4.4,41.7
CA-091,"Sierra County",38.5,118,4.9,33.6
CA-093,"Siskiyou County",39.2,110,3.4,35.8
CA-095,"Solano County",55.0,123,4.5,50.5
CA-097,"Sonoma County",53.7,123,4.7,49
CA-099,"Stanislaus County",54.1,121,4.5,49.6
CA-101,"Sutter County",54.0,114,3.3,50.7
CA-103,"Tehama County",50.8,122,5.4,45.4
CA-105,"Trinity County",43.6,117,3.8,39.8
CA-107,"Tulare County",44.5,115,3.7,40.8
CA-109,"Tuolumne County",42.8,119,5.5,37.3
CA-111,"Ventura County",50.4,111,3.7,46.7
CA-113,"Yolo County",54.7,122,4.6,50.1
CA-115,"Yuba County",53.2,120,4.7,48.5
CO-001,"Adams County",28.3,41,-2.3,30.6
CO-003,"Alamosa County",26.3,77,1.8,24.5
CO-005,"Arapahoe County",27.8,39,-2.9,30.7
CO-007,"Archuleta County",28.7,89,2.7,26
CO-009,"Baca County",33.4,40,-1.8,35.2
CO-011,"Bent County",32.8,41,-1.5,34.3
CO-013,"Boulder County",25.9,38,-1.9,27.8
CO-014,"Broomfield County",30.6,42,-2.2,32.8
CO-015,"Chaffee County",20.1,46,-1.5,21.6
CO-017,"Cheyenne County",31.3,52,-0.4,31.7
CO-019,"Clear Creek County",18.6,30,-2.7,21.3
CO-021,"Conejos County",25.2,84,2.0,23.2
CO-023,"Costilla County",26.3,78,1.1,25.2
CO-025,"Crowley County",30.2,36,-2.8,33
CO-027,"Custer County",23.7,41,-1.9,25.6
CO-029,"Delta County",28.6,61,0.6,28
CO-031,"Denver County",29.3,33,-3.2,32.5
CO-033,"Dolores County",27.2,69,1.0,26.2
CO-035,"Douglas County",25.7,19,-4.7,30.4
CO-037,"Eagle County",20.6,46,-1.2,21.8
CO-039,"Elbert County",27.1,39,-2.4,29.5
CO-041,"El Paso County",28.0,33,-2.6,30.6
CO-043,"Fremont County",25.2,20,-4.0,29.2
CO-045,"Garfield County",24.4,50,-0.9,25.3
CO-047,"Gilpin County",20.9,33,-2.7,23.6
CO-049,"Grand County",16.8,31,-2.6,19.4
CO-051,"Gunnison County",20.0,62,0.2,19.8
CO-053,"Hinsdale County",21.0,78,1.8,19.2
CO-055,"Huerfano County",29.0,42,-1.6,30.6
CO-057,"Jackson County",15.9,26,-2.9,18.8
CO-059,"Jefferson County",26.0,24,-4.0,30
CO-061,"Kiowa County",31.4,43,-1.5,32.9
CO-063,"Kit Carson County",31.5,62,0.2,31.3
CO-065,"Lake County",16.9,47,-1.0,17.9
CO-067,"La Plata County",29.4,85,2.0,27.4
CO-069,"Larimer County",22.7,35,-2.0,24.7
CO-071,"Las Animas County",32.2,38,-1.8,34
CO-073,"Lincoln County",29.7,43,-1.4,31.1
CO-075,"Logan County",29.8,53,-0.4,30.2
CO-077,"Mesa County",28.8,62,0.5,28.3
CO-079,"Mineral County",21.6,80,1.7,19.9
CO-081,"Moffat County",21.0,36,-2.6,23.6
CO-083,"Montezuma County",32.6,74,1.5,31.1
CO-085,"Montrose County",30.0,71,1.2,28.8
CO-087,"Morgan County",29.4,58,0.2,29.2
CO-089,"Otero County",32.0,37,-2.8,34.8
CO-091,"Ouray County",24.6,68,0.7,23.9
CO-093,"Park County",18.3,21,-3.6,21.9
CO-095,"Phillips County",30.1,62,0.4,29.7
CO-097,"Pitkin County",20.9,59,-0.0,20.9
CO-099,"Prowers County",33.2,45,-1.1,34.3
CO-101,"Pueblo County",31.3,31,-3.2,34.5
CO-103,"Rio Blanco County",23.2,45,-1.7,24.9
CO-105,"Rio Grande County",23.8,76,1.8,22
CO-107,"Routt County",18.4,28,-2.7,21.1
CO-109,"Saguache County",21.4,59,-0.4,21.8
CO-111,"San Juan County",20.7,74,1.3,19.4
CO-113,"San Miguel County",28.0,68,0.8,27.2
CO-115,"Sedgwick County",29.8,58,0.1,29.7
CO-117,"Summit County",17.0,39,-1.6,18.6
CO-119,"Teller County",20.0,18,-4.2,24.2
CO-121,"Washington County",29.9,56,-0.2,30.1
CO-123,"Weld County",28.2,47,-1.3,29.5
CO-125,"Yuma County",31.1,58,0.3,30.8
CT-001,"Fairfield County",35.3,118,7.7,27.6
CT-003,"Hartford County",33.7,118,7.6,26.1
CT-005,"Litchfield County",31.3,119,7.6,23.7
CT-007,"Middlesex County",35.0,121,7.6,27.4
CT-009,"New Haven County",34.6,120,7.3,27.3
CT-011,"New London County",35.8,122,8.1,27.7
CT-013,"Tolland County",33.7,121,8.0,25.7
CT-015,"Windham County",34.1,122,8.0,26.1
DE-001,"Kent County",41.6,122,7.5,34.1
DE-003,"New Castle County",40.3,121,7.7,32.6
DE-005,"Sussex County",42.9,121,7.5,35.4
FL-001,"Alachua County",59.6,92,2.5,57.1
FL-003,"Baker County",57.6,90,2.4,55.2
FL-005,"Bay County",57.9,100,3.4,54.5
FL-007,"Bradford County",59.1,94,2.7,56.4
FL-009,"Brevard County",66.5,108,4.7,61.8
FL-011,"Broward County",70.9,112,4.8,66.1
FL-013,"Calhoun County",57.4,103,3.6,53.8
FL-015,"Charlotte County",68.3,109,4.7,63.6
FL-017,"Citrus County",62.8,104,4.1,58.7
FL-019,"Clay County",60.7,104,4.1,56.6
FL-021,"Collier County",69.7,109,4.2,65.5
FL-023,"Columbia County",57.2,84,1.9,55.3
FL-027,"DeSoto County",67.4,107,4.5,62.9
FL-029,"Dixie County",58.7,94,2.8,55.9
FL-031,"Duval County",59.9,105,4.2,55.7
FL-033,"Escambia County",57.1,102,3.2,53.9
FL-035,"Flagler County",63.4,108,4.9,58.5
FL-037,"Franklin County",58.4,102,3.3,55.1
FL-039,"Gadsden County",56.7,97,3.1,53.6
FL-041,"Gilchrist County",58.6,93,2.4,56.2
FL-043,"Glades County",68.9,111,5.3,63.6
FL-045,"Gulf County",58.4,105,3.7,54.7
FL-047,"Hamilton County",56.8,87,2.3,54.5
FL-049,"Hardee County",66.7,105,4.5,62.2
FL-051,"Hendry County",69.4,110,4.9,64.5
FL-053,"Hernando County",64.4,109,4.9,59.5
FL-055,"Highlands County",67.6,109,4.9,62.7
FL-057,"Hillsborough County",66.2,109,4.9,61.3
FL-059,"Holmes County",56.6,102,3.5,53.1
FL-061,"Indian River County",67.5,111,5.0,62.5
FL-063,"Jackson County",57.0,102,3.3,53.7
FL-065,"Jefferson County",57.5,99,3.4,54.1
FL-067,"Lafayette County",57.8,95,2.5,55.3
FL-069,"Lake County",65.2,110,5.3,59.9
FL-071,"Lee County",69.2,109,4.8,64.4
FL-073,"Leon County",57.2,100,3.2,54
FL-075,"Levy County",60.0,96,2.9,57.1
FL-077,"Liberty County",57.5,102,3.4,54.1
FL-079,"Madison County",57.4,95,3.1,54.3
FL-081,"Manatee County",66.0,103,3.9,62.1
FL-083,"Marion County",62.4,103,4.0,58.4
FL-085,"Martin County",69.7,116,5.4,64.3
FL-086,"Miami-Dade County",71.9,116,5.2,66.7
FL-087,"Monroe County",72.4,116,5.3,67.1
FL-089,"Nassau County",58.4,102,3.6,54.8
FL-091,"Okaloosa County",56.5,100,3.1,53.4
FL-093,"Okeechobee County",68.0,111,5.1,62.9
FL-095,"Orange County",66.1,109,5.0,61.1
FL-097,"Osceola County",66.6,108,4.7,61.9
FL-099,"Palm Beach County",70.2,113,5.0,65.2
FL-101,"Pasco County",65.2,109,5.1,60.1
FL-103,"Pinellas County",66.1,109,4.6,61.5
FL-105,"Polk County",66.5,109,4.9,61.6
FL-107,"Putnam County",62.4,106,4.5,57.9
FL-109,"St. Johns County",62.1,111,5.0,57.1
FL-111,"St. Lucie County",68.6,113,5.1,63.5
FL-113,"Santa Rosa County",56.4,94,2.6,53.8
FL-115,"Sarasota County",66.1,101,3.2,62.9
FL-117,"Seminole County",65.5,108,4.7,60.8
FL-119,"Sumter County",64.2,107,4.7,59.5
FL-121,"Suwannee County",57.2,84,2.1,55.1
FL-123,"Taylor County",58.6,100,3.6,55
FL-125,"Union County",57.9,87,1.9,56
FL-127,"Volusia County",64.4,108,4.7,59.7
FL-129,"Wakulla County",57.7,101,3.1,54.6
FL-131,"Walton County",56.7,102,3.4,53.3
FL-133,"Washington County",57.2,102,3.4,53.8
GA-001,"Appling County",55.0,94,2.9,52.1
GA-003,"Atkinson County",55.4,93,2.9,52.5
GA-005,"Bacon County",55.1,94,2.7,52.4
GA-007,"Baker County",56.0,103,3.6,52.4
GA-009,"Baldwin County",52.0,107,4.2,47.8
GA-011,"Banks County",46.6,86,2.1,44.5
GA-013,"Barrow County",47.2,91,2.6,44.6
GA-015,"Bartow County",47.3,98,3.5,43.8
GA-017,"Ben Hill County",55.2,108,4.3,50.9
GA-019,"Berrien County",55.3,96,3.1,52.2
GA-021,"Bibb County",52.4,109,4.2,48.2
GA-023,"Bleckley County",52.8,100,3.2,49.6
GA-025,"Brantley County",55.3,89,2.3,53
GA-027,"Brooks County",56.0,92,2.8,53.2
GA-029,"Bryan County",56.0,106,3.8,52.2
GA-031,"Bulloch County",54.6,105,3.7,50.9
GA-033,"Burke County",52.7,107,4.0,48.7
GA-035,"Butts County",51.2,112,5.0,46.2
GA-037,"Calhoun County",55.2,103,3.5,51.7
GA-039,"Camden County",56.7,92,2.6,54.1
GA-043,"Candler County",54.1,101,3.4,50.7
GA-045,"Carroll County",48.4,105,4.2,44.2
GA-047,"Catoosa County",46.9,106,4.4,42.5
GA-049,"Charlton County",56.9,94,2.8,54.1
GA-051,"Chatham County",56.2,106,4.0,52.2
GA-053,"Chattahoochee County",51.7,91,2.4,49.3
GA-055,"Chattooga County",47.4,101,4.0,43.4
GA-057,"Cherokee County",46.4,96,3.3,43.1
GA-059,"Clarke County",48.0,95,2.9,45.1
GA-061,"Clay County",53.9,92,2.6,51.3
GA-063,"Clayton County",49.2,102,4.1,45.1
GA-065,"Clinch County",56.0,89,2.4,53.6
GA-067,"Cobb County",47.6,99,3.8,43.8
GA-069,"Coffee County",55.3,100,3.5,51.8
GA-071,"Colquitt County",55.2,93,2.9,52.3
GA-073,"Columbia County",51.2,103,3.9,47.3
GA-075,"Cook County",55.3,91,2.8,52.5
GA-077,"Coweta County",49.9,107,4.6,45.3
GA-079,"Crawford County",51.9,102,3.8,48.1
GA-081,"Crisp County",54.9,110,4.9,50
GA-083,"Dade County",45.8,104,4.1,41.7
GA-085,"Dawson County",44.8,93,2.7,42.1
GA-087,"Decatur County",56.4,97,3.2,53.2
GA-089,"DeKalb County",48.2,98,3.8,44.4
GA-091,"Dodge County",54.0,105,3.8,50.2
GA-093,"Dooly County",53.7,109,4.2,49.5
GA-095,"Dougherty County",55.8,106,4.2,51.6
GA-097,"Douglas County",48.4,104,4.3,44.1
GA-099,"Early County",55.5,99,3.2,52.3
GA-101,"Echols County",56.4,87,2.4,54
GA-103,"Effingham County",54.8,104,3.7,51.1
GA-105,"Elbert County",48.2,100,3.3,44.9
GA-107,"Emanuel County",53.1,100,3.1,50
GA-109,"Evans County",55.1,100,3.4,51.7
GA-111,"Fannin County",42.9,95,3.2,39.7
GA-113,"Fayette County",50.0,107,4.7,45.3
GA-115,"Floyd County",47.5,98,3.4,44.1
GA-117,"Forsyth County",46.0,93,2.9,43.1
GA-119,"Franklin County",46.5,85,1.9,44.6
GA-121,"Fulton County",48.2,102,4.0,44.2
GA-123,"Gilmer County",43.4,92,2.7,40.7
GA-125,"Glascock County",51.0,99,3.2,47.8
GA-127,"Glynn County",55.8,89,2.1,53.7
GA-129,"Gordon County",46.9,96,3.4,43.5
GA-131,"Grady County",56.2,96,3.0,53.2
GA-133,"Greene County",49.8,104,3.6,46.2
GA-135,"Gwinnett County",47.0,96,3.0,44
GA-137,"Habersham County",45.3,89,2.3,43
GA-139,"Hall County",46.1,91,2.5,43.6
GA-141,"Hancock County",50.9,103,3.6,47.3
GA-143,"Haralson County",47.8,105,4.2,43.6
GA-145,"Harris County",50.4,93,2.9,47.5
GA-147,"Hart County",47.2,95,2.8,44.4
GA-149,"Heard County",48.9,98,3.6,45.3
GA-151,"Henry County",49.9,105,4.3,45.6
GA-153,"Houston County",52.6,101,3.5,49.1
GA-155,"Irwin County",55.3,105,4.1,51.2
GA-157,"Jackson County",47.0,88,2.3,44.7
GA-159,"Jasper County",51.8,115,5.7,46.1
GA-161,"Jeff Davis County",54.8,100,3.3,51.5
GA-163,"Jefferson County",51.5,96,3.0,48.5
GA-165,"Jenkins County",53.2,106,3.9,49.3
GA-167,"Johnson County",52.3,96,2.8,49.5
GA-169,"Jones County",52.3,111,4.9,47.4
GA-171,"Lamar County",51.5,110,4.8,46.7
GA-173,"Lanier County",55.6,91,2.6,53
GA-175,"Laurens County",53.2,100,3.3,49.9
GA-177,"Lee County",55.0,108,4.2,50.8
GA-179,"Liberty County",56.2,104,3.5,52.7
GA-181,"Lincoln County",49.8,101,3.6,46.2
GA-183,"Long County",55.9,98,3.1,52.8
GA-185,"Lowndes County",56.0,92,2.6,53.4
GA-187,"Lumpkin County",44.5,97,3.1,41.4
GA-189,"McDuffie County",50.7,101,3.7,47
GA-191,"McIntosh County",56.2,95,2.9,53.3
GA-193,"Macon County",52.6,104,3.6,49
GA-195,"Madison County",47.1,92,2.4,44.7
GA-197,"Marion County",51.4,91,2.6,48.8
GA-199,"Meriwether County",50.4,104,4.0,46.4
GA-201,"Miller County",56.0,99,3.3,52.7
GA-205,"Mitchell County",55.8,100,3.4,52.4
GA-207,"Monroe County",52.0,112,4.9,47.1
GA-209,"Montgomery County",54.2,101,3.3,50.9
GA-211,"Morgan County",50.4,112,4.6,45.8
GA-213,"Murray County",45.7,96,3.4,42.3
GA-215,"Muscogee County",51.4,91,2.5,48.9
GA-217,"Newton County",50.0,110,4.6,45.4
GA-219,"Oconee County",48.6,100,3.2,45.4
GA-221,"Oglethorpe County",48.2,96,3.0,45.2
GA-223,"Paulding County",47.6,102,3.8,43.8
GA-225,"Peach County",52.1,101,3.6,48.5
GA-227,"Pickens County",44.8,91,2.7,42.1
GA-229,"Pierce County",55.3,90,2.5,52.8
GA-231,"Pike County",51.2,109,4.6,46.6
GA-233,"Polk County",48.1,103,4.1,44
GA-235,"Pulaski County",53.3,102,3.5,49.8
GA-237,"Putnam County",51.8,114,5.2,46.6
GA-239,"Quitman County",52.8,88,2.3,50.5
GA-241,"Rabun County",43.7,94,2.7,41
GA-243,"Randolph County",53.6,95,3.0,50.6
GA-245,"Richmond County",52.4,108,4.2,48.2
GA-247,"Rockdale County",49.0,104,4.0,45
GA-249,"Schley County",52.2,97,3.1,49.1
GA-251,"Screven County",53.4,105,3.7,49.7
GA-253,"Seminole County",56.4,99,3.2,53.2
GA-255,"Spalding County",50.8,105,4.6,46.2
GA-257,"Stephens County",46.1,82,1.6,44.5
GA-259,"Stewart County",52.2,89,2.5,49.7
GA-261,"Sumter County",53.6,105,3.8,49.8
GA-263,"Talbot County",50.8,96,3.0,47.8
GA-265,"Taliaferro County",49.6,101,3.3,46.3
GA-267,"Tattnall County",55.0,99,3.1,51.9
GA-269,"Taylor County",51.5,98,3.2,48.3
GA-271,"Telfair County",54.8,105,3.9,50.9
GA-273,"Terrell County",54.4,104,3.7,50.7
GA-275,"Thomas County",56.1,93,2.9,53.2
GA-277,"Tift County",55.1,103,3.7,51.4
GA-279,"Toombs County",54.4,97,3.1,51.3
GA-281,"Towns County",43.0,101,3.4,39.6
GA-283,"Treutlen County",53.5,100,3.2,50.3
GA-285,"Troup County",49.6,97,3.3,46.3
GA-287,"Turner County",54.9,109,4.4,50.5
GA-289,"Twiggs County",52.4,101,3.5,48.9
GA-291,"Union County",43.0,100,3.4,39.6
GA-293,"Upson County",51.5,104,4.2,47.3
GA-295,"Walker County",47.0,109,4.7,42.3
GA-297,"Walton County",48.6,103,3.6,45
GA-299,"Ware County",55.8,89,2.4,53.4
GA-301,"Warren County",50.4,101,3.4,47
GA-303,"Washington County",51.6,97,2.9,48.7
GA-305,"Wayne County",55.4,91,2.6,52.8
GA-307,"Webster County",52.5,94,2.8,49.7
GA-309,"Wheeler County",54.4,103,3.6,50.8
GA-311,"White County",44.8,97,2.9,41.9
GA-313,"Whitfield County",46.9,106,4.2,42.7
GA-315,"Wilcox County",54.5,108,4.2,50.3
GA-317,"Wilkes County",49.2,101,3.5,45.7
GA-319,"Wilkinson County",52.3,102,3.4,48.9
GA-321,"Worth County",55.2,108,4.1,51.1
ID-001,"Ada County",36.3,70,1.1,35.2
ID-003,"Adams County",27.1,58,-0.2,27.3
ID-005,"Bannock County",26.5,57,-0.2,26.7
ID-007,"Bear Lake County",19.2,41,-1.9,21.1
ID-009,"Benewah County",32.8,80,2.0,30.8
ID-011,"Bingham County",21.9,34,-3.1,25
ID-013,"Blaine County",23.4,52,-0.2,23.6
ID-015,"Boise County",26.8,56,-0.3,27.1
ID-017,"Bonner County",29.6,80,2.0,27.6
ID-019,"Bonneville County",19.4,26,-3.7,23.1
ID-021,"Boundary County",28.4,94,3.4,25
ID-023,"Butte County",17.2,28,-4.2,21.4
ID-025,"Camas County",24.1,66,0.7,23.4
ID-027,"Canyon County",37.0,73,1.4,35.6
