April 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TX-109,"Culberson County",63.5,98,2.2,61.3
TX-111,"Dallam County",53.6,69,0.5,53.1
TX-113,"Dallas County",63.7,39,-1.1,64.8
TX-115,"Dawson County",61.4,52,-0.7,62.1
TX-117,"Deaf Smith County",54.7,61,-0.2,54.9
TX-119,"Delta County",61.2,30,-1.7,62.9
TX-121,"Denton County",62.6,32,-1.5,64.1
TX-123,"DeWitt County",70.7,92,1.4,69.3
TX-125,"Dickens County",60.2,36,-1.5,61.7
TX-127,"Dimmit County",71.8,54,-0.4,72.2
TX-129,"Donley County",57.6,49,-0.6,58.2
TX-131,"Duval County",73.1,82,0.6,72.5
TX-133,"Eastland County",62.1,32,-1.7,63.8
TX-135,"Ector County",65.3,90,1.5,63.8
TX-137,"Edwards County",65.9,75,0.2,65.7
TX-139,"Ellis County",63.7,29,-1.6,65.3
TX-141,"El Paso County",67.0,119,5.1,61.9
TX-143,"Erath County",63.7,56,-0.4,64.1
TX-145,"Falls County",64.8,46,-0.8,65.6
TX-147,"Fannin County",61.1,32,-1.5,62.6
TX-149,"Fayette County",68.8,88,0.9,67.9
TX-151,"Fisher County",61.7,28,-1.8,63.5
TX-153,"Floyd County",57.5,43,-1.0,58.5
TX-155,"Foard County",60.8,28,-2.0,62.8
TX-157,"Fort Bend County",70.7,103,2.2,68.5
TX-159,"Franklin County",61.7,35,-1.6,63.3
TX-161,"Freestone County",64.6,47,-0.8,65.4
TX-163,"Frio County",70.4,58,-0.2,70.6
TX-165,"Gaines County",61.4,75,0.3,61.1
TX-167,"Galveston County",71.3,108,2.9,68.4
TX-169,"Garza County",61.3,44,-1.0,62.3
TX-171,"Gillespie County",64.8,66,-0.2,65
TX-173,"Glasscock County",65.0,91,1.3,63.7
TX-175,"Goliad County",71.8,99,1.7,70.1
TX-177,"Gonzales County",69.7,87,0.9,68.8
TX-179,"Gray County",56.7,63,-0.0,56.7
TX-181,"Grayson County",61.5,32,-1.5,63
TX-183,"Gregg County",62.6,20,-2.2,64.8
TX-185,"Grimes County",66.8,62,-0.2,67
TX-187,"Guadalupe County",68.7,79,0.2,68.5
TX-189,"Hale County",57.3,57,-0.5,57.8
TX-191,"Hall County",59.7,45,-0.8,60.5
TX-193,"Hamilton County",63.8,44,-0.8,64.6
TX-195,"Hansford County",56.0,65,0.1,55.9
TX-197,"Hardeman County",60.5,37,-1.5,62
TX-199,"Hardin County",67.5,75,0.6,66.9
TX-201,"Harris County",70.0,97,1.7,68.3
TX-203,"Harrison County",63.1,29,-1.8,64.9
TX-205,"Hartley County",55.0,75,0.8,54.2
TX-207,"Haskell County",61.4,17,-2.4,63.8
TX-209,"Hays County",67.0,72,0.1,66.9
TX-211,"Hemphill County",57.0,61,-0.1,57.1
TX-213,"Henderson County",63.3,34,-1.4,64.7
TX-215,"Hidalgo County",78.8,116,3.5,75.3
TX-217,"Hill County",63.8,28,-1.6,65.4
TX-219,"Hockley County",59.0,75,0.5,58.5
TX-221,"Hood County",63.8,35,-1.1,64.9
TX-223,"Hopkins County",61.4,28,-1.7,63.1
TX-225,"Houston County",65.1,43,-0.9,66
TX-227,"Howard County",63.2,51,-0.6,63.8
TX-229,"Hudspeth County",64.0,112,3.7,60.3
TX-231,"Hunt County",61.7,33,-1.3,63
TX-233,"Hutchinson County",57.2,67,0.2,57
TX-235,"Irion County",65.2,86,0.8,64.4
TX-237,"Jack County",61.3,26,-2.0,63.3
TX-239,"Jackson County",71.7,107,2.7,69
TX-241,"Jasper County",66.0,60,-0.1,66.1
TX-243,"Jeff Davis County",63.3,102,2.6,60.7
TX-245,"Jefferson County",69.0,90,1.4,67.6
TX-247,"Jim Hogg County",76.6,105,2.7,73.9
TX-249,"Jim Wells County",73.9,90,1.6,72.3
TX-251,"Johnson County",63.4,30,-1.5,64.9
TX-253,"Jones County",61.7,19,-2.4,64.1
TX-255,"Karnes County",70.6,86,0.7,69.9
TX-257,"Kaufman County",63.0,31,-1.6,64.6
TX-259,"Kendall County",66.2,74,0.1,66.1
TX-261,"Kenedy County",77.1,118,3.8,73.3
TX-263,"Kent County",61.8,39,-1.2,63
TX-265,"Kerr County",65.1,73,0.2,64.9
TX-267,"Kimble County",64.6,71,0.0,64.6
TX-269,"King County",61.3,35,-1.6,62.9
TX-271,"Kinney County",69.5,63,-0.3,69.8
TX-273,"Kleberg County",75.6,113,3.5,72.1
TX-275,"Knox County",61.2,22,-2.3,63.5
TX-277,"Lamar County",60.7,28,-1.9,62.6
TX-279,"Lamb County",57.0,61,-0.2,57.2
TX-281,"Lampasas County",63.9,29,-1.4,65.3
TX-283,"La Salle County",71.7,55,-0.4,72.1
TX-285,"Lavaca County",71.0,104,2.4,68.6
TX-287,"Lee County",66.4,50,-0.6,67
TX-289,"Leon County",65.3,51,-0.6,65.9
TX-291,"Liberty County",68.7,88,1.1,67.6
TX-293,"Limestone County",64.6,46,-0.8,65.4
TX-295,"Lipscomb County",55.8,57,-0.4,56.2
TX-297,"Live Oak County",71.7,75,0.4,71.3
TX-299,"Llano County",65.0,33,-1.2,66.2
TX-301,"Loving County",66.2,99,2.0,64.2
TX-303,"Lubbock County",59.5,71,0.4,59.1
TX-305,"Lynn County",60.4,59,-0.3,60.7
TX-307,"McCulloch County",64.1,48,-0.7,64.8
TX-309,"McLennan County",64.4,38,-1.1,65.5
TX-311,"McMullen County",71.5,67,-0.1,71.6
TX-313,"Madison County",66.2,60,-0.3,66.5
TX-315,"Marion County",62.7,25,-1.8,64.5
TX-317,"Martin County",64.1,80,0.7,63.4
TX-319,"Mason County",64.4,45,-0.9,65.3
TX-321,"Matagorda County",71.4,106,2.6,68.8
TX-323,"Maverick County",71.6,58,-0.3,71.9
TX-325,"Medina County",69.0,71,0.1,68.9
TX-327,"Menard County",64.1,73,0.1,64
TX-329,"Midland County",65.9,95,1.9,64
TX-331,"Milam County",65.4,47,-0.7,66.1
TX-333,"Mills County",63.4,36,-1.3,64.7
TX-335,"Mitchell County",63.0,41,-1.0,64
TX-337,"Montague County",60.7,23,-2.3,63
TX-339,"Montgomery County",67.8,77,0.3,67.5
TX-341,"Moore County",56.9,77,1.2,55.7
TX-343,"Morris County",62.0,31,-1.6,63.6
TX-345,"Motley County",59.7,39,-1.3,61
TX-347,"Nacogdoches County",64.5,49,-0.8,65.3
TX-349,"Navarro County",64.2,38,-1.1,65.3
TX-351,"Newton County",66.1,63,0.1,66
TX-353,"Nolan County",61.8,38,-1.3,63.1
TX-355,"Nueces County",74.4,107,2.6,71.8
TX-357,"Ochiltree County",55.6,55,-0.5,56.1
TX-359,"Oldham County",55.8,64,0.1,55.7
TX-361,"Orange County",68.0,82,0.8,67.2
TX-363,"Palo Pinto County",62.9,36,-1.3,64.2
TX-365,"Panola County",63.4,26,-1.8,65.2
TX-367,"Parker County",62.6,31,-1.7,64.3
TX-369,"Parmer County",55.2,61,-0.2,55.4
TX-371,"Pecos County",67.0,97,2.2,64.8
TX-373,"Polk County",66.1,53,-0.5,66.6
TX-375,"Potter County",56.5,66,0.2,56.3
TX-377,"Presidio County",67.3,105,2.9,64.4
TX-379,"Rains County",61.9,30,-1.4,63.3
TX-381,"Randall County",55.5,60,-0.4,55.9
TX-383,"Reagan County",65.4,87,1.0,64.4
TX-385,"Real County",66.0,71,0.1,65.9
TX-387,"Red River County",61.3,41,-1.3,62.6
TX-389,"Reeves County",66.7,102,2.3,64.4
TX-391,"Refugio County",72.5,103,2.0,70.5
TX-393,"Roberts County",56.9,61,-0.1,57
TX-395,"Robertson County",65.7,57,-0.4,66.1
TX-397,"Rockwall County",62.7,40,-1.1,63.8
TX-399,"Runnels County",63.3,35,-1.3,64.6
TX-401,"Rusk County",63.0,22,-2.0,65
TX-403,"Sabine County",65.4,68,0.1,65.3
TX-405,"San Augustine County",65.2,61,-0.2,65.4
TX-407,"San Jacinto County",66.6,50,-0.4,67
TX-409,"San Patricio County",72.9,94,1.6,71.3
TX-411,"San Saba County",63.9,33,-1.4,65.3
TX-413,"Schleicher County",64.6,80,0.4,64.2
TX-415,"Scurry County",61.7,39,-1.4,63.1
TX-417,"Shackelford County",62.1,23,-2.0,64.1
TX-419,"Shelby County",64.0,42,-1.1,65.1
TX-421,"Sherman County",55.8,73,0.9,54.9
TX-423,"Smith County",62.7,30,-1.7,64.4
TX-425,"Somervell County",64.2,41,-0.9,65.1
TX-427,"Starr County",78.7,112,3.4,75.3
TX-429,"Stephens County",62.3,33,-1.6,63.9
TX-431,"Sterling County",64.6,85,0.7,63.9
TX-433,"Stonewall County",61.5,24,-2.1,63.6
TX-435,"Sutton County",65.5,86,0.7,64.8
TX-437,"Swisher County",56.1,51,-0.8,56.9
TX-439,"Tarrant County",63.4,30,-1.5,64.9
TX-441,"Taylor County",61.7,22,-2.1,63.8
TX-443,"Terrell County",68.5,84,1.1,67.4
TX-445,"Terry County",60.1,72,0.1,60
TX-447,"Throckmorton County",61.4,20,-2.4,63.8
TX-449,"Titus County",62.0,41,-1.2,63.2
TX-451,"Tom Green County",64.9,77,0.1,64.8
TX-453,"Travis County",66.6,56,-0.5,67.1
TX-455,"Trinity County",65.6,45,-0.7,66.3
TX-457,"Tyler County",65.8,55,-0.4,66.2
TX-459,"Upshur County",62.2,27,-1.9,64.1
TX-461,"Upton County",66.4,86,1.2,65.2
TX-463,"Uvalde County",69.1,67,-0.1,69.2
TX-465,"Val Verde County",69.0,83,0.4,68.6
TX-467,"Van Zandt County",62.4,30,-1.6,64
TX-469,"Victoria County",72.2,108,2.6,69.6
TX-471,"Walker County",66.2,50,-0.6,66.8
TX-473,"Waller County",68.3,78,0.4,67.9
TX-475,"Ward County",67.4,100,2.2,65.2
TX-477,"Washington County",67.0,55,-0.5,67.5
TX-479,"Webb County",73.5,73,0.2,73.3
TX-481,"Wharton County",70.8,102,2.1,68.7
TX-483,"Wheeler County",57.7,59,-0.2,57.9
TX-485,"Wichita County",61.0,26,-1.9,62.9
TX-487,"Wilbarger County",60.7,24,-2.0,62.7
TX-489,"Willacy County",78.1,118,3.9,74.2
TX-491,"Williamson County",65.1,36,-1.2,66.3
TX-493,"Wilson County",69.6,73,0.2,69.4
TX-495,"Winkler County",66.1,99,2.1,64
TX-497,"Wise County",62.0,30,-1.7,63.7
TX-499,"Wood County",62.1,30,-1.5,63.6
TX-501,"Yoakum County",59.3,72,0.4,58.9
TX-503,"Young County",61.5,25,-2.1,63.6
TX-505,"Zapata County",77.3,100,2.3,75
TX-507,"Zavala County",71.1,58,-0.2,71.3
UT-001,"Beaver County",46.6,88,1.6,45
UT-003,"Box Elder County",46.2,75,1.0,45.2
UT-005,"Cache County",41.5,71,0.7,40.8
UT-007,"Carbon County",43.2,90,1.8,41.4
UT-009,"Daggett County",38.3,61,-0.1,38.4
UT-011,"Davis County",48.1,90,2.2,45.9
UT-013,"Duchesne County",40.2,86,1.7,38.5
UT-015,"Emery County",49.9,92,2.0,47.9
UT-017,"Garfield County",47.2,98,2.2,45
UT-019,"Grand County",50.6,101,2.5,48.1
UT-021,"Iron County",47.0,95,2.3,44.7
UT-023,"Juab County",47.9,77,1.2,46.7
UT-025,"Kane County",51.6,99,2.6,49
UT-027,"Millard County",48.9,84,1.4,47.5
UT-029,"Morgan County",42.4,88,2.0,40.4
UT-031,"Piute County",41.0,83,1.5,39.5
UT-033,"Rich County",38.7,72,1.0,37.7
UT-035,"Salt Lake County",47.3,91,2.1,45.2
UT-037,"San Juan County",52.1,100,2.3,49.8
UT-039,"Sanpete County",41.8,80,1.3,40.5
UT-041,"Sevier County",41.9,77,1.0,40.9
UT-043,"Summit County",36.0,73,0.9,35.1
UT-045,"Tooele County",49.0,76,1.1,47.9
UT-047,"Uintah County",45.0,81,1.1,43.9
UT-049,"Utah County",45.0,84,1.5,43.5
UT-051,"Wasatch County",38.7,80,1.3,37.4
UT-053,"Washington County",54.0,93,2.1,51.9
UT-055,"Wayne County",50.2,96,2.3,47.9
UT-057,"Weber County",44.7,86,1.9,42.8
VT-001,"Addison County",39.7,37,-1.6,41.3
VT-003,"Bennington County",39.1,47,-0.9,40
VT-005,"Caledonia County",37.0,33,-1.7,38.7
VT-007,"Chittenden County",40.9,54,-0.2,41.1
VT-009,"Essex County",36.2,41,-1.5,37.7
VT-011,"Franklin County",40.2,53,-0.3,40.5
VT-013,"Grand Isle County",41.9,49,-0.5,42.4
VT-015,"Lamoille County",38.1,53,-0.3,38.4
VT-017,"Orange County",38.6,43,-1.2,39.8
VT-019,"Orleans County",37.1,45,-1.1,38.2
VT-021,"Rutland County",39.3,40,-1.4,40.7
VT-023,"Washington County",38.0,45,-1.1,39.1
VT-025,"Windham County",40.1,44,-1.0,41.1
VT-027,"Windsor County",39.7,47,-0.9,40.6
VA-001,"Accomack County",54.5,75,0.8,53.7
VA-003,"Albemarle County",53.8,56,-0.1,53.9
VA-005,"Alleghany County",50.0,25,-1.9,51.9
VA-007,"Amelia County",56.0,58,0.1,55.9
VA-009,"Amherst County",53.8,55,-0.0,53.8
VA-011,"Appomattox County",55.0,61,0.3,54.7
VA-013,"Arlington County",53.4,55,-0.4,53.8
VA-015,"Augusta County",50.2,41,-0.9,51.1
VA-017,"Bath County",49.0,29,-1.6,50.6
VA-019,"Bedford County",54.5,49,-0.3,54.8
VA-021,"Bland County",48.4,28,-1.6,50
VA-023,"Botetourt County",52.2,28,-1.7,53.9
VA-025,"Brunswick County",56.2,48,-0.4,56.6
VA-027,"Buchanan County",51.7,39,-1.3,53
VA-029,"Buckingham County",55.4,59,0.3,55.1
VA-031,"Campbell County",55.3,68,0.6,54.7
VA-033,"Caroline County",54.4,45,-0.6,55
VA-035,"Carroll County",50.4,40,-0.8,51.2
VA-036,"Charles City County",56.5,46,-0.7,57.2
VA-037,"Charlotte County",55.0,50,-0.2,55.2
VA-041,"Chesterfield County",55.7,42,-0.8,56.5
VA-043,"Clarke County",50.8,46,-0.8,51.6
VA-045,"Craig County",50.2,29,-1.6,51.8
VA-047,"Culpeper County",52.8,48,-0.5,53.3
VA-049,"Cumberland County",55.9,61,0.4,55.5
VA-051,"Dickenson County",51.7,38,-1.4,53.1
VA-053,"Dinwiddie County",56.2,49,-0.4,56.6
VA-057,"Essex County",55.1,54,-0.3,55.4
VA-059,"Fairfax County",53.0,56,-0.4,53.4
VA-061,"Fauquier County",52.0,51,-0.4,52.4
VA-063,"Floyd County",49.2,32,-1.3,50.5
VA-065,"Fluvanna County",55.3,62,0.4,54.9
VA-067,"Franklin County",53.8,39,-0.9,54.7
VA-069,"Frederick County",50.0,38,-1.1,51.1
VA-071,"Giles County",49.5,32,-1.5,51
VA-073,"Gloucester County",56.5,67,0.2,56.3
VA-075,"Goochland County",55.2,50,-0.1,55.3
VA-077,"Grayson County",48.0,39,-1.0,49
VA-079,"Greene County",52.1,53,-0.2,52.3
VA-081,"Greensville County",56.4,42,-0.8,57.2
VA-083,"Halifax County",55.5,48,-0.4,55.9
VA-085,"Hanover County",55.0,41,-0.7,55.7
VA-087,"Henrico County",55.6,39,-0.9,56.5
VA-089,"Henry County",54.8,36,-1.1,55.9
VA-091,"Highland County",46.0,33,-1.6,47.6
VA-093,"Isle of Wight County",57.6,67,0.3,57.3
VA-095,"James City County",56.8,59,-0.1,56.9
VA-097,"King and Queen County",55.6,53,-0.4,56
VA-099,"King George County",54.6,57,-0.1,54.7
VA-101,"King William County",55.5,42,-0.6,56.1
VA-103,"Lancaster County",55.5,68,0.2,55.3
VA-105,"Lee County",52.1,18,-2.4,54.5
VA-107,"Loudoun County",51.6,52,-0.5,52.1
VA-109,"Louisa County",54.4,51,-0.1,54.5
VA-111,"Lunenburg County",55.5,49,-0.2,55.7
VA-113,"Madison County",51.4,45,-0.6,52
VA-115,"Mathews County",56.3,68,0.4,55.9
VA-117,"Mecklenburg County",55.8,47,-0.6,56.4
VA-119,"Middlesex County",55.8,63,0.0,55.8
VA-121,"Montgomery County",50.8,34,-1.2,52
VA-125,"Nelson County",53.0,48,-0.3,53.3
VA-127,"New Kent County",56.0,45,-0.6,56.6
VA-131,"Northampton County",55.8,74,0.7,55.1
VA-133,"Northumberland County",55.2,70,0.5,54.7
VA-135,"Nottoway County",56.1,58,0.3,55.8
VA-137,"Orange County",53.7,55,-0.2,53.9
VA-139,"Page County",49.4,35,-1.3,50.7
VA-141,"Patrick County",53.0,36,-1.0,54
VA-143,"Pittsylvania County",55.3,47,-0.5,55.8
VA-145,"Powhatan County",55.6,52,-0.1,55.7
VA-147,"Prince Edward County",55.3,54,0.0,55.3
VA-149,"Prince George County",56.4,41,-0.9,57.3
VA-153,"Prince William County",53.2,56,-0.3,53.5
VA-155,"Pulaski County",50.5,37,-1.1,51.6
VA-157,"Rappahannock County",50.4,40,-1.1,51.5
VA-159,"Richmond County",55.2,66,0.0,55.2
VA-161,"Roanoke County",52.6,35,-1.2,53.8
VA-163,"Rockbridge County",51.8,37,-1.2,53
VA-165,"Rockingham County",49.7,39,-1.1,50.8
VA-167,"Russell County",51.2,42,-1.1,52.3
VA-169,"Scott County",52.9,31,-1.5,54.4
VA-171,"Shenandoah County",49.9,36,-1.3,51.2
VA-173,"Smyth County",48.9,33,-1.3,50.2
VA-175,"Southampton County",57.1,51,-0.3,57.4
VA-177,"Spotsylvania County",53.6,49,-0.6,54.2
VA-179,"Stafford County",53.7,54,-0.4,54.1
VA-181,"Surry County",57.1,58,-0.0,57.1
VA-183,"Sussex County",56.8,47,-0.4,57.2
VA-185,"Tazewell County",48.7,38,-1.3,50
VA-187,"Warren County",50.5,42,-0.9,51.4
VA-191,"Washington County",51.5,37,-1.2,52.7
VA-193,"Westmoreland County",55.0,68,0.2,54.8
VA-195,"Wise County",50.8,29,-1.5,52.3
VA-197,"Wythe County",49.3,34,-1.3,50.6
VA-199,"York County",57.1,67,0.3,56.8
VA-510,"Alexandria City",53.9,55,-0.4,54.3
VA-520,"Bristol City",53.1,34,-1.3,54.4
VA-530,"Buena Vista City",53.2,40,-0.9,54.1
VA-540,"Charlottesville City",54.3,54,-0.1,54.4
VA-550,"Chesapeake City",58.0,78,1.0,57
VA-570,"Colonial Heights City",56.0,37,-1.2,57.2
VA-580,"Covington City",51.4,22,-2.1,53.5
VA-590,"Danville City",55.9,36,-1.0,56.9
VA-595,"Emporia City",56.4,39,-0.9,57.3
VA-600,"Fairfax City",52.7,54,-0.5,53.2
VA-610,"Falls Church City",52.7,53,-0.5,53.2
VA-620,"Franklin City",57.4,55,-0.1,57.5
VA-630,"Fredericksburg City",53.6,48,-0.7,54.3
VA-640,"Galax City",50.4,41,-0.6,51
VA-650,"Hampton City",57.8,73,0.8,57
VA-660,"Harrisonburg City",50.8,38,-1.1,51.9
VA-670,"Hopewell City",56.0,35,-1.5,57.5
VA-680,"Lynchburg City",55.5,72,0.8,54.7
VA-683,"Manassas City",53.1,57,-0.3,53.4
VA-685,"Manassas Park City",53.0,57,-0.4,53.4
VA-690,"Martinsville City",54.8,36,-1.1,55.9
VA-700,"Newport News City",57.7,71,0.6,57.1
VA-710,"Norfolk City",58.3,85,1.3,57
VA-720,"Norton City",51.2,33,-1.4,52.6
VA-730,"Petersburg City",56.2,40,-1.0,57.2
VA-735,"Poquoson City",57.5,73,0.7,56.8
VA-740,"Portsmouth City",58.4,78,1.0,57.4
VA-750,"Radford City",50.9,35,-1.2,52.1
VA-760,"Richmond City",55.6,41,-0.8,56.4
VA-770,"Roanoke City",54.0,37,-1.1,55.1
VA-775,"Salem City",53.9,38,-1.1,55
VA-790,"Staunton City",51.2,46,-0.8,52
VA-800,"Suffolk City",57.9,68,0.4,57.5
VA-810,"Virginia Beach City",57.7,82,1.2,56.5
VA-820,"Waynesboro City",51.8,47,-0.5,52.3
VA-830,"Williamsburg City",56.7,59,0.0,56.7
VA-840,"Winchester City",50.3,39,-1.1,51.4
WA-001,"Adams County",48.0,62,-0.1,48.1
WA-003,"Asotin County",47.7,95,2.1,45.6
WA-005,"Benton County",53.2,92,1.6,51.6
WA-007,"Chelan County",42.6,93,1.3,41.3
WA-009,"Clallam County",45.9,101,1.8,44.1
WA-011,"Clark County",50.7,93,1.5,49.2
