State,County,CS,MaxAQI,x90thPercentileAQI,MedianAQI,AQI_Class_KM,Extreme_AQI,Norm_Cases,Norm_Deaths,Liklihood_Deaths,Case_Det_Class,Case_Spectral_Class
Alabama,Baldwin,BaldwinAlabama,129,52.6666666666667,36.8333333333333,1,0,307.300859188117,4.03164392520853,0.0131195335276968,2,5
Alabama,Colbert,ColbertAlabama,115,49.6666666666667,36.6666666666667,1,0,666.171865100197,9.05124816712225,0.0135869565217391,3,0
Alabama,DeKalb,DeKalbAlabama,119,51.8333333333333,38.0,1,0,841.8049865059501,6.991735768321839,0.008305647840531559,2,0
Alabama,Etowah,EtowahAlabama,179,61.0,44.1666666666667,2,0,611.1393593303869,12.711698674072,0.0208,2,4
Alabama,Houston,HoustonAlabama,131,49.6666666666667,35.1666666666667,1,0,409.89025518974,4.72223796301543,0.0115207373271889,3,6
Alabama,Jefferson,JeffersonAlabama,156,75.0,51.5,3,0,666.137239151924,21.2580837659606,0.0319124686573969,3,4
Alabama,Madison,MadisonAlabama,122,55.6666666666667,40.1666666666667,1,0,283.447168075858,1.60897162578538,0.0056764427625354795,2,6
Alabama,Mobile,MobileAlabama,139,59.1666666666667,39.8333333333333,2,0,894.702451537959,32.4290312431935,0.036245604544225,3,0
Alabama,Montgomery,MontgomeryAlabama,221,61.8333333333333,46.0,2,1,1695.0275072189902,41.5036691009599,0.0244855431101849,3,4
Alabama,Morgan,MorganAlabama,107,54.1666666666667,39.0,1,0,819.6926779134179,2.5067054370440895,0.00305810397553517,3,4
Alabama,Russell,RussellAlabama,141,61.0,42.1666666666667,2,0,835.0442538948599,0.0,0.0,3,4
Alabama,Shelby,ShelbyAlabama,133,54.6666666666667,36.0,1,0,497.009673774242,10.5649006439996,0.0212569316081331,2,6
Alabama,Sumter,SumterAlabama,107,49.0,33.8333333333333,1,0,2220.97046753038,96.563933370886,0.0434782608695652,1,0
Alabama,Tuscaloosa,TuscaloosaAlabama,123,57.8333333333333,42.6666666666667,2,0,978.72035537723,17.1956724224404,0.0175695461200586,3,4
Arizona,Apache,ApacheArizona,67,23.8333333333333,12.333333333333302,1,0,3312.1426683545,119.632200536954,0.0361192776144477,3,0
Arizona,Cochise,CochiseArizona,141,65.0,44.6666666666667,2,0,521.7515604898269,6.353139244929401,0.0121765601217656,2,4
Arizona,Coconino,CoconinoArizona,126,67.0,44.5,2,0,1352.83949928908,64.1222225319914,0.0473982483256054,3,0
Arizona,Gila,GilaArizona,200,127.5,77.1666666666667,3,0,572.031545040542,9.25617386796994,0.0161812297734628,2,4
Arizona,La Paz,La PazArizona,136,65.5,43.0,2,0,1634.45139283684,23.6877013454614,0.0144927536231884,3,4
Arizona,Maricopa,MaricopaArizona,249,105.5,67.0,3,1,1165.24360961998,17.1890487700801,0.0147514636666284,2,4
Arizona,Mohave,MohaveArizona,105,32.1666666666667,16.8333333333333,1,0,538.219727496807,40.0601373355767,0.074430823117338,3,4
Arizona,Navajo,NavajoArizona,115,61.3333333333333,43.0,2,0,3338.32173379972,112.689769571959,0.0337564137186065,3,0
Arizona,Pima,PimaArizona,129,75.6666666666667,48.5,2,0,800.83721720764,26.0675521995571,0.0325503755812567,3,4
Arizona,Pinal,PinalArizona,1263,113.5,68.0,3,1,816.138672267491,14.4774400428705,0.0177389462536405,3,4
Arizona,Santa Cruz,Santa CruzArizona,199,62.3333333333333,32.8333333333333,2,0,3875.43550260226,47.3138629618478,0.0122086570477248,3,4
Arizona,Yavapai,YavapaiArizona,140,64.0,42.8333333333333,2,0,332.200477245756,3.8281745137155,0.0115236875800256,3,6
Arizona,Yuma,YumaArizona,419,76.1666666666667,45.1666666666667,2,1,3039.4738688507696,43.968997179435604,0.0144659895352416,3,4
Arkansas,Clark,ClarkArkansas,90,45.3333333333333,32.8333333333333,1,0,255.376344086022,0.0,0.0,2,1
Arkansas,Crittenden,CrittendenArkansas,159,56.8333333333333,39.0,1,0,1561.8809300385801,25.0234594932749,0.0160213618157543,3,4
Arkansas,Newton,NewtonArkansas,90,47.5,36.1666666666667,1,0,77.3893976525216,0.0,0.0,2,1
Arkansas,Polk,PolkArkansas,119,53.5,38.8333333333333,1,0,375.676217190944,5.00901622921258,0.0133333333333333,3,4
Arkansas,Pulaski,PulaskiArkansas,122,63.0,44.0,2,0,530.732742893157,14.7992784075976,0.0278846153846154,3,4
Arkansas,Union,UnionArkansas,158,51.1666666666667,20.5,1,0,643.710252830774,33.6073625975906,0.0522088353413655,1,0
Arkansas,Washington,WashingtonArkansas,96,55.8333333333333,40.5,1,0,1519.31334060798,12.542487677005902,0.00825536598789213,3,4
California,Alameda,AlamedaCalifornia,223,72.3333333333333,45.6666666666667,3,1,368.32963467994597,8.077404269297071,0.0219298245614035,3,6
California,Amador,AmadorCalifornia,140,66.1666666666667,39.5,2,0,60.374320788891104,0.0,0.0,1,1
California,Butte,ButteCalifornia,445,86.5,52.1666666666667,3,1,86.2281350086228,0.9124670371282841,0.0105820105820106,3,5
California,Calaveras,CalaverasCalifornia,320,80.0,46.5,3,1,87.13647750789671,0.0,0.0,2,1
California,Colusa,ColusaCalifornia,274,67.0,42.3333333333333,2,1,273.82002134868,0.0,0.0,2,5
California,Contra Costa,Contra CostaCalifornia,245,66.3333333333333,43.8333333333333,2,1,281.57146002777597,6.58849475434451,0.0233990147783251,2,5
California,El Dorado,El DoradoCalifornia,203,96.3333333333333,44.5,3,1,102.67419610771499,0.0,0.0,3,5
California,Fresno,FresnoCalifornia,207,135.333333333333,73.8333333333333,3,1,529.375908942139,7.20647862428323,0.0136131593874078,3,4
California,Glenn,GlennCalifornia,230,61.6666666666667,41.1666666666667,2,1,405.029408657063,0.0,0.0,2,6
California,Humboldt,HumboldtCalifornia,173,53.5,35.0,1,0,98.1129848478142,2.9507664615884,0.0300751879699248,1,1
California,Imperial,ImperialCalifornia,541,104.5,61.8333333333333,3,1,3599.59164528323,51.3202549457826,0.0142572435995707,3,4
California,Inyo,InyoCalifornia,2060,88.6666666666667,47.0,3,1,177.39342535617297,5.543544542380401,0.03125,2,1
California,Kern,KernCalifornia,548,140.0,82.6666666666667,3,1,529.658898780496,7.776032490485471,0.0146812080536913,3,4
California,Kings,KingsCalifornia,507,117.333333333333,67.8333333333333,3,1,1637.24336341049,18.9616843206486,0.0115814696485623,3,4
California,Lake,LakeCalifornia,208,44.5,34.1666666666667,1,1,122.69748081881201,0.0,0.0,3,5
California,Los Angeles,Los AngelesCalifornia,224,141.666666666667,76.3333333333333,3,1,1052.5338558499302,33.5786838411026,0.0319027113992334,3,4
California,Madera,MaderaCalifornia,179,104.166666666667,58.8333333333333,3,0,343.86977441888604,3.1780940334462593,0.00924214417744917,3,6
California,Marin,MarinCalifornia,218,55.5,36.3333333333333,1,1,924.945716427252,6.954479070881599,0.0075187969924812,3,4
California,Mariposa,MariposaCalifornia,301,93.8333333333333,47.8333333333333,3,1,156.94936929605302,5.81293960355752,0.037037037037037,2,1
California,Mendocino,MendocinoCalifornia,314,55.8333333333333,36.3333333333333,1,1,97.9838384304142,0.0,0.0,3,5
California,Merced,MercedCalifornia,171,99.6666666666667,54.0,3,0,407.303370786517,3.96139441083261,0.00972590627763042,3,6
California,Mono,MonoCalifornia,6403,64.8333333333333,19.1666666666667,1,1,290.778177790086,6.923289947383,0.0238095238095238,1,6
California,Monterey,MontereyCalifornia,176,51.0,37.3333333333333,1,0,389.576580250241,3.4557354841831,0.00887049083382614,3,6
California,Napa,NapaCalifornia,249,61.1666666666667,40.8333333333333,2,1,241.752816819607,2.9039377395748596,0.012012012012012,2,5
California,Nevada,NevadaCalifornia,196,97.5,45.6666666666667,3,0,117.287354017342,1.00245601724224,0.00854700854700855,2,5
California,Orange,OrangeCalifornia,172,88.3333333333333,53.5,3,0,453.853837210913,10.7063279436419,0.0235898147505724,3,4
California,Placer,PlacerCalifornia,240,97.1666666666667,49.8333333333333,3,1,181.75929947355098,2.7615363179683103,0.0151933701657459,2,5
California,Riverside,RiversideCalifornia,537,152.0,85.5,3,1,730.243436066359,18.4979352742268,0.0253311900670695,3,0
California,Sacramento,SacramentoCalifornia,314,97.1666666666667,51.6666666666667,3,1,218.870686533622,4.38127956558325,0.020017662643508998,2,5
California,San Benito,San BenitoCalifornia,143,59.3333333333333,39.8333333333333,1,0,380.524773914151,3.18430773149917,0.00836820083682008,2,6
California,San Bernardino,San BernardinoCalifornia,233,167.166666666667,83.0,3,1,584.656102858375,11.605052096592601,0.0198493645065118,3,4
California,San Diego,San DiegoCalifornia,174,102.166666666667,63.5,3,0,438.033387951461,10.9336105178338,0.0249606783833687,3,4
California,San Francisco,San FranciscoCalifornia,228,56.5,36.0,1,1,413.817042501324,5.671834464108059,0.0137061403508772,3,6
California,San Joaquin,San JoaquinCalifornia,308,95.3333333333333,52.3333333333333,3,1,513.548549625532,6.82282181413584,0.0132856412876852,3,4
California,San Luis Obispo,San Luis ObispoCalifornia,156,79.8333333333333,51.3333333333333,3,0,226.76618004952098,0.35321834898679294,0.0015576323987538901,2,5
California,San Mateo,San MateoCalifornia,185,53.8333333333333,35.1666666666667,1,0,431.922334859172,14.088677790634401,0.0326185442464512,3,6
California,Santa Barbara,Santa BarbaraCalifornia,315,65.8333333333333,45.0,2,1,648.6016765995,6.4949753526883605,0.0100138121546961,3,0
California,Santa Clara,Santa ClaraCalifornia,194,68.1666666666667,42.1666666666667,2,0,237.15513431528998,8.0919074700755,0.0341207349081365,2,1
California,Santa Cruz,Santa CruzCalifornia,170,52.8333333333333,34.6666666666667,1,0,146.039902932877,1.09804438295396,0.0075187969924812,3,1
California,Shasta,ShastaCalifornia,190,74.8333333333333,42.8333333333333,2,0,71.6348289649045,2.22123500666371,0.0310077519379845,2,1
California,Siskiyou,SiskiyouCalifornia,196,60.0,33.8333333333333,1,0,71.2005328556007,0.0,0.0,3,5
California,Solano,SolanoCalifornia,247,66.1666666666667,42.1666666666667,2,1,313.19600663921904,5.36141523490817,0.0171184022824536,2,5
California,Sonoma,SonomaCalifornia,226,50.5,35.3333333333333,1,1,239.715497151735,1.41604091144485,0.0059071729957805895,3,5
California,Stanislaus,StanislausCalifornia,240,106.666666666667,55.5,3,1,419.49660407511004,7.62721098318382,0.0181818181818182,2,6
California,Sutter,SutterCalifornia,335,86.0,50.3333333333333,3,1,203.153520124573,4.1249445710573305,0.0203045685279188,2,5
